target,n,k,d,q,seconds,status,A_poly,B_poly
Z5xZ12,120,8,8,4.267,0.17,ok,y^11 + x*y + x^4*y^10,x*y^8 + x^2*y^2 + x^4*y^7
Z5xZ12,120,8,8,4.267,0.28,ok,y^4 + y^8 + y^9,1 + x^2*y^5 + x^4*y^6
Z5xZ12,120,8,8,4.267,0.3,ok,y^11 + x*y^8 + x^3*y^7,y^5 + x^2*y^6 + x^3*y^3
Z5xZ12,120,8,4,1.067,0.02,ok,x*y^8 + x^3 + x^4*y^4,x^2*y^6 + x^3*y^2 + x^4*y^4
Z5xZ12,120,8,8,4.267,0.19,ok,y + y^3 + x*y^11,y^8 + x^3 + x^3*y^10
Z5xZ12,120,8,6,2.4,0.03,ok,y^3 + x^2*y^11 + x^4*y^7,y^10 + x*y^6 + x*y^8
Z5xZ12,120,8,8,4.267,0.29,ok,y^10 + x^2*y^3 + x^3*y^3,y^11 + x^2 + x^4*y^8
Z5xZ12,120,8,8,4.267,0.25,ok,x*y^10 + x^3*y^8 + x^4*y^2,y^3 + x*y^5 + x^4*y^8
Z5xZ12,120,8,8,4.267,0.21,ok,x*y^4 + x^2*y^10 + x^4*y^9,y^2 + x*y^10 + x^4*y^10
Z5xZ12,120,8,8,4.267,0.2,ok,x*y^2 + x^2 + x^4*y^4,1 + x^3*y^2 + x^3*y^4
Z5xZ12,120,8,8,4.267,0.26,ok,x*y + x^3 + x^4,x*y^5 + x^3*y^4 + x^4*y^7
Z5xZ12,120,8,8,4.267,0.29,ok,y + x*y^9 + x^4,1 + y + y^8
Z5xZ12,120,8,8,4.267,0.19,ok,y^9 + x^2*y^7 + x^4*y^3,y^6 + x*y^9 + x^3*y^7
Z5xZ12,120,8,8,4.267,0.19,ok,y^9 + x^2*y^5 + x^2*y^7,x + x^3*y^2 + x^4*y^10
Z5xZ12,120,8,2,0.267,0.01,ok,y^3 + x^2*y^7 + x^3*y^4,y^4 + x^2*y^3 + x^4*y^7
