instance_id,group,n,k,d,d_ub_known,seconds,cost_step,status,A_poly,B_poly
5edf9b7da6673f39,Z7xZ12,168,4,10,20,1.15,1,ok,y + y^5 + x,x*y^6 + x^3*y^11 + x^6*y
62ba258719fb6951,Z7xZ12,168,4,14,36,12.99,1,ok,y^2 + x*y + x^2,y^6 + x^3*y^11 + x^5*y^10
679840777ccb9555,Z7xZ12,168,4,14,40,23.16,1,ok,y + y^2 + x,y^9 + x*y^11 + x^2*y^4
6ae62fc27565af13,Z7xZ12,168,4,16,28,553.43,1,ok,y^5 + x*y + x^2,y^11 + x^4*y^3 + x^6*y^4
6e195309de38180f,Z7xZ12,168,4,12,32,3.13,1,ok,y + y^2 + x,x*y^8 + x^2*y^3 + x^3*y^4
728a89e0c72fa024,Z7xZ12,168,4,14,24,17.58,1,ok,y^4 + y^8 + x,y^2 + x*y^6 + x^3*y
75d4f89a8c3ffc51,Z6xZ14,168,4,12,30,5.05,1,ok,y^2 + x + x^2,y^4 + x*y^9 + x^2*y^7
7b581f3effbce899,Z6xZ14,168,4,12,38,3.31,1,ok,y^2 + x + x^2,y^12 + x*y^7 + x^5*y^6
7debe6a6f1854dbe,Z6xZ14,168,4,12,28,2.51,1,ok,y^3 + x*y + x^2,y^6 + x*y^9 + x^2*y^10
7f4927a219478bea,Z6xZ14,168,4,14,20,15.67,1,ok,1 + x*y + x^2,x*y^12 + x^2*y^10 + x^3*y^2
34859164b23f8a5c,Z6xZ14,168,6,12,24,2.9,1,ok,y^2 + y^3 + x,y^8 + y^11 + x^2*y^3
3b67086f2d09b7bb,Z6xZ14,168,6,8,18,0.28,1,ok,1 + y + y^3,y^10 + x*y^5 + x^3*y^2
42ad2f69b4f59454,Z7xZ12,168,6,12,32,9.62,1,ok,y^2 + x*y + x^3,y^6 + x^4 + x^5*y
4b52126cd4bc2bbd,Z6xZ14,168,6,12,20,3.44,1,ok,y^2 + y^3 + x^2,x^3*y^7 + x^4*y^13 + x^5*y^4
51f7a5e091782f40,Z6xZ14,168,6,12,20,4.39,1,ok,y^2 + y^3 + x^2,y^12 + x*y^3 + x^2*y^6
581d971e4660e296,Z6xZ14,168,6,8,18,0.8,1,ok,1 + y + y^3,y^9 + x + x^3*y^6
5afa4b05ca835054,Z7xZ12,168,6,8,22,0.69,1,ok,y^2 + x + x^3,x*y^4 + x^2*y^8 + x^4*y^5
60de32c2d15f6348,Z7xZ12,168,6,12,24,8.36,1,ok,y^10 + x*y + x^3,y^3 + x^2*y^5 + x^6*y^11
640fb8bd13e2808d,Z7xZ12,168,6,8,20,0.38,1,ok,y^2 + x*y + x^3,y^11 + x*y^3 + x^3*y^9
68b752da852ca82c,Z6xZ14,168,6,12,26,3.34,1,ok,y + y^3 + x,x*y^10 + x^2*y^2 + x^3*y^5
7040f1aa593082d8,Z6xZ14,168,6,8,22,0.32,1,ok,1 + y + y^3,x*y^12 + x^2 + x^5*y^4
75b4decedc0238ca,Z6xZ14,168,6,12,20,1.91,1,ok,y^2 + y^3 + x,y^3 + x*y^9 + x^5*y^7
7e1a15db2f77e8e3,Z7xZ12,168,6,10,30,0.94,1,ok,y + x + x^3,x^3*y + x^4*y^11 + x^6
8410dcafe02d3dcd,Z6xZ14,168,6,14,18,15.07,1,ok,y^2 + y^3 + x^2,y^4 + x^2*y^12 + x^3*y^2
8864ba5fafa95916,Z7xZ12,168,6,12,34,5.08,1,ok,y^5 + x*y + x^3,x^3*y^7 + x^4*y + x^6
8df1fd596f675d44,Z6xZ14,168,6,12,20,7.2,1,ok,y + y^3 + x,1 + x^2*y^9 + x^4*y^13
27e6b824ed868c94,Z6xZ14,168,4,16,30,940.83,1,ok,1 + x*y + x^2,y^12 + x*y^7 + x^2*y^11
2b0ee1f276737843,Z6xZ14,168,4,14,28,35.11,1,ok,y + x + x^2,y^7 + x*y^2 + x^2*y^9
2eb3d41bae0e4384,Z7xZ12,168,4,10,40,1.79,1,ok,y + y^5 + x,y^9 + x^3*y^10 + x^6*y^2
325c47904da88d5d,Z7xZ12,168,4,14,34,46.86,1,ok,y + y^2 + x,y + x*y^2 + x^4
35d3e4f9b4ddd31f,Z7xZ12,168,4,16,36,1206.41,1,ok,y^4 + y^5 + x,y^6 + x*y^8 + x^2*y
3998edffa40fa2af,Z7xZ12,168,4,14,36,59.79,1,ok,y + y^2 + x,y^7 + x^2*y^6 + x^2*y^11
3cbda1c8e527755b,Z7xZ12,168,4,8,24,1.24,1,ok,y^11 + x*y + x^2,1 + x^2*y^10 + x^4*y^8
3f10a9427e89a12b,Z7xZ12,168,4,14,32,46.95,1,ok,y^2 + x*y + x^2,y^11 + x^3*y^3 + x^5*y^10
43c23fc03c09c878,Z7xZ12,168,4,16,36,1675.03,1,ok,y^4 + y^5 + x,x^5*y + x^6 + x^6*y^2
4722ae4b49a132e9,Z6xZ14,168,4,14,20,27.55,1,ok,y^2 + x + x^2,x^2*y^3 + x^3*y^8 + x^4*y^11
49feb15f697fd12c,Z6xZ14,168,4,16,20,747.93,1,ok,y^3 + x*y + x^2,y^5 + x + x^2*y
4c09922dd796c2da,Z7xZ12,168,4,14,22,23.71,1,ok,y + y^2 + x,x*y^6 + x*y^11 + x^4*y^7
4f9c9c384a5769a6,Z7xZ12,168,4,14,24,20.57,1,ok,y^10 + x*y^2 + x^2,x*y^11 + x^2*y^3 + x^4*y^4
534966eaef902584,Z7xZ12,168,4,14,24,18.36,1,ok,y^4 + y^5 + x,1 + x*y^8 + x^3*y^7
